ICAO,Name,State/Territory,Country,Timezone,Latitude,Longitude
DAAG,Houari Boumediene Airport,,Algeria,Africa/Algiers,36.69100189208984,3.215409994125366
LEAL,Alicante-Elche Miguel Hernandez Airport,,Spain,Europe/Madrid,38.28219985961914,-0.558156013
YBAS,Alice Springs Airport,Northern Territory,Australia,Australia/Darwin,-23.80669975,133.90199279785156
OESK,Al-Jawf International Airport,,Saudi Arabia,Asia/Riyadh,29.78510093688965,40.09999847412109
VIAL,Prayagraj Airport,,India,Asia/Calcutta,25.440099716186523,81.73390197753906
VEAB,Prayagraj,,India,Asia/Kolkata,25.44,81.734
KABE,Lehigh Valley International Airport,Pennsylvania,United States,America/New_York,40.65209961,-75.44080353
KAIA,Alliance Municipal Airport,Nebraska,United States,America/Denver,42.05319977,-102.8040009
ORNI,Al Najaf International Airport,,Iraq,Asia/Baghdad,31.989853,44.404317
KAPN,Alpena County Regional Airport,Michigan,United States,America/New_York,45.0780983,-83.56030273
OEPA,Al Qaisumah/Hafr Al Batin Airport,,Saudi Arabia,Asia/Riyadh,28.335199,46.125099
ENAT,Alta Airport,,Norway,Europe/Oslo,69.97609711,23.37170029
ZWAT,Altay Xuedu Airport,,China,Asia/Shanghai,47.749886,88.085808
OEAO,Al-Ula International Airport,,Saudi Arabia,Asia/Riyadh,26.48297,38.11871
KAMA,Rick Husband Amarillo International Airport,Texas,United States,America/Chicago,35.21939849853516,-101.7060013
WAPP,Pattimura International Airport,,Indonesia,Asia/Jayapura,-3.710259914,128.0890045
OJAI,Queen Alia International Airport,,Jordan,Asia/Amman,31.72260094,35.99319839
EHAM,Amsterdam Airport Schiphol,,Netherlands,Europe/Amsterdam,52.30860138,4.763889789579999
PANC,Ted Stevens Anchorage International Airport,Alaska,United States,America/Anchorage,61.17440032958984,-149.9960022
LTAC,Esenboga International Airport,,Turkey,Europe/Istanbul,40.12810135,32.99509811
ZYAS,Anshan Teng'ao Airport / Anshan Air Base,,China,Asia/Shanghai,41.105301,122.853996
FMMI,Ivato International Airport,,Madagascar,Indian/Antananarivo,-18.7968998,47.47880173
SCFA,Andres Sabella Galvez International Airport,,Chile,America/Santiago,-23.44449997,-70.44509888
EBAW,Antwerp International Airport (Deurne),,Belgium,Europe/Brussels,51.18939972,4.460279942
NSFA,Faleolo International Airport,,Samoa,Pacific/Apia,-13.82999992,-172.0079956
KATW,Appleton International Airport,Wisconsin,United States,America/Chicago,44.2580986,-88.51909637
SBAR,Aracaju - Santa Maria Airport,,Brazil,America/Fortaleza,-10.98400021,-37.07030106
OERR,Arar Domestic Airport,,Saudi Arabia,Asia/Riyadh,30.90660095214844,41.13819885253906
ESNX,Arvidsjaur Airport,,Sweden,Europe/Stockholm,65.59030151367188,19.28190040588379
RJEC,Asahikawa Airport,,Japan,Asia/Tokyo,43.67079925537109,142.44700622558594
FHAW,RAF Ascension Island,,"Saint Helena, Ascension And Tristan Da Cunha",Atlantic/St_Helena,-7.969600201,-14.39369965
KAVL,Asheville Regional Airport,North Carolina,United States,America/New_York,35.43619918823242,-82.54180145
KASE,Aspen-Pitkin County Airport (Sardy Field),Colorado,United States,America/Denver,39.22320175,-106.8690033
